Ethereum,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Active Addresses,Transactions
6 Apr 2026,$53.605b,"$263,820",$1.407b,$1.363b,$254.593b,"698,309",2.46m
7 Apr 2026,$51.894b,"$462,035",$1.337b,$1.476b,$254.579b,"754,766",2.59m
08 Apr 2026,$54.235b,"$313,359",$1.434b,$1.44b,$270.468b,"682,758",2.44m
09 Apr 2026,$53.548b,"$241,637",$1.337b,$1.46b,$264.372b,"576,037",2.39m
10 Apr 2026,$53.775b,"$272,814",$1.02b,$1.453b,$264.23b,"642,281",2.44m
11 Apr 2026,$54.524b,"$185,049",$676.08m,$1.322b,$270.957b,"587,354",2.88m
12 Apr 2026,$55.139b,"$233,677",$789.71m,$1.336b,$275.867b,"507,208",3.64m
,,,,,,,
Solana,,,,,,,
Date,TVL ($B),Chain Fees ($),DEX Volume ($B),Perps Volume ($B),Token Mcap ($B),,
6 Apr 2026,5.531,"$508,729",1.53,1.767,46.867,,
7 Apr 2026,5.388,"$566,365",1.43,1.85,45.861,,
08 Apr 2026,5.685,"$502,759",1.247,1.338,49.114,,
09 Apr 2026,5.701,"$532,908",1.253,1.234,47.378,,
10 Apr 2026,5.726,"$504,500",1.311,0.713,47.823,,
11 Apr 2026,5.79,"$417,465",0.946,0.402,48.697,,
12 Apr 2026,5.771,"$392,642",1.081,0.677,48.793,,
,,,,,,,
BSC,,,,,,,
Date,TVL ($B),DEXs Volume ($M),Perps Volume ($M),Active Addresses (M),Transactions (M),,
6 Apr 2026,5.36,652.38,283.86,2.62,14.11,,
7 Apr 2026,5.36,661.96,298.24,2.83,18.13,,
08 Apr 2026,5.464,576.96,259.37,2.66,15.15,,
09 Apr 2026,5.376,700.33,267.66,2.65,16.02,,
10 Apr 2026,5.385,628.42,271.16,2.63,15.36,,
11 Apr 2026,5.415,584.43,253.08,2.49,14.54,,
12 Apr 2026,5.425,667.54,254.23,2.64,15.12,,
,,,,,,,
Tron,,,,,,,
Date,TVL ($B),Chain Fees ($M),DEXs Volume ($M),Perps Volume ($M),Token Mcap ($B),Active Addresses (M),Transactions (M)
6 Apr 2026,4.847,1.05,35.09,148.31,30.226,2.82,10.6
7 Apr 2026,4.842,1.2,37.9,101.76,30.01,2.87,10.87
08 Apr 2026,4.9,1.12,41.5,134.88,29.898,2.81,10.63
09 Apr 2026,4.899,1.07,47.41,123.35,30.124,2.62,10.27
10 Apr 2026,4.927,$1,36.21,128.49,30.359,2.71,10.62
11 Apr 2026,4.969,$1,30.12,122.5,30.252,2.48,9.53
12 Apr 2026,5.006,$1,64.78,123.51,30.227,2.38,8.99
,,,,,,,
Bitcoin,,,,,,,
Date,TVL ($),Chain Fees ($),DEXs Volume ($),Token Mcap ($),,,
6 Apr 2026,4.686B,"$148,833","$680,283",1.381T,,,
7 Apr 2026,4.673B,"$168,895","$798,629",1.378T,,,
08 Apr 2026,4.883B,"$173,303","$653,869",1.44T,,,
09 Apr 2026,4.811B,"$173,523","$643,165",1.423T,,,
10 Apr 2026,4.885B,"$194,935","$553,921",1.436T,,,
11 Apr 2026,4.953B,"$144,758","$332,361",1.461T,,,
12 Apr 2026,4.961B,"$125,386","$385,240",1.463T,,,
,,,,,,,
Base,,,,,,,
Date,TVL ($),Chain Fees ($),DEXs Volume ($),Perps Volume ($),Active Addresses,Transactions,
6 Apr,4.137b,"$97,735",834.28m,846.69m,"476,409",7.84m,
7 Apr,4.118b,"$144,305",1.204b,675.66m,"529,214",8.8m,
08 Apr,4.271b,"$103,654",996.16m,312.13m,"539,213",8.4m,
09 Apr,4.23b,"$107,829",1.002b,358.86m,"619,173",9.99m,
10 Apr,4.276b,"$92,751",806.82m,224.11m,"551,724",9.07m,
11 Apr,4.349b,"$86,057",754.65m,121.81m,"511,679",7.51m,
12 Apr,4.375b,"$89,172",774.6m,158.74m,"364,403",7.29m,