Ethereum,FEB 16 - 22,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoin Mcap,Active Addresses,Transactions
16 Feb,$54.668b,"$258,813","$17,899",$1.088b,$1.48b,$237.06b,$158.393b,"671,150",2.01m
17 Feb,$54.804b,"332,779","$32,491",$1.463b,$1.429b,$241.438b,$158.939b,"638,080",1.96m
18 Feb,$54.84b,"$310,784","$34,528",$1.859b,$1.392b,$240.296b,$158.54b,"650,762",2.01m
19 Feb,$53.941b,"$285,436","$35,312",$2.079b,$1.375b,$235.736b,$158.505b,"643,162",2.01m
20 Feb,$53.966b,"$317,814","$31,005",$1.949b,$1.435b,$235.007b,$158.95b,"586,256",1.87m
21 Feb,$53.667b,"$193,804","$17,469",$1.067b,$1.288b,$237.381b,$158.36b,"557,786",1.68m
22 Feb,$53.82b,"$171,218","$15,889",$1.526b,$1.188b,$238.204b,$158.311b,"547,260",1.72m
,,,,,,,,,
Solana,FEB 16 - 22,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
16 Feb,$6.612b,"$654,483","$58,651",$2.725b,$994.26m,$48.819b,$15.255b,2.23m,75.29m
17 Feb,$6.629b,"$932,163","$60,000",$2.67b,$1.016b,$49.062b,$15.013b,2.07m,83.51m
18 Feb,$6.572b,"$766,492","$56,721",$2.628b,$1.045b,$48.301b,$15.089b,2.13m,78.27m
19 Feb,$6.426b,"$656,518","$56,940",$2.465b,$993.08m,$46.293b,$15.232b,2.12m,80m
20 Feb,$6.443b,"$753,076","$60,559",$2.317b,$1.043b,$46.789b,$15.062b,2.06m,83.8m
21 Feb,$6.537b,"$637,509","$58,992",$1.456b,$404.95m,$48.005b,$15.211b,2.01m,82m
22 Feb,$6.509b,"$650,348","$54,701",$1.456b,$466.9m,$48.452b,$15.189b,2.21m,83.06m
,,,,,,,,,
BSC,,,,,,,,,
Date ,TVL ($),Chain Fees ($),Chain Revenue ($),DEXs Volume ($),Perps Volume ($),Stablecoins Mcap ($),Active Addresses,Transactions,
16 Feb,5.791b,"337,179","33,718",868.2m,290.85m,13.889b,2.53m,14.42m,
17 Feb,5.829b,"190,697","19,070",847.42m,288.47m,13.884b,2.39m,12.28m,
18 Feb,5.767b,"190,194","19,019",771.66m,261.11m,13.879b,2.41m,12.97m,
19 Feb,5.661b,"208,672","20,867",889.79m,285.84m,13.874b,2.54m,12.92m,
20 Feb,5.617b,"200,047","20,005",1.06b,290.4m,13.879b,2.46m,13.19m,
21 Feb,5.696b,"193,370","19,337",764.7m,282.29m,13.876b,2.49m,12.56m,
22 Feb,5.684b,"162,107","16,211",720.92m,264.38m,13.873b,2.61m,12.46m,
,,,,,,,,,
Bitcoin,FEB 16 - 22,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Active Addresses,,,
16 Feb 2026,$5.182b,"$153,132","$846,446",$16.29m,$1.374t,"$592,609",,,
17 Feb 2026,$5.184b,"$153,695","$976,565",$17.19m,$1.377t,"$595,445",,,
18 Feb 2026,$5.052b,"$153,378","$990,702",$14.37m,$1.349t,"$595,919",,,
19 Feb 2026,$4.969b,"$158,689","$835,064",$11.39m,$1.328t,"616,639",,,
20 Feb 2026,$5.024b,"$175,982","$884,030",$14.95m,$1.338t,"662,947",,,
21 Feb 2026,$5.076b,"$147,150","$572,044",$9.16m,$1.359t,"579,813",,,
22 Feb 2026,$5.086b,"$126,371","$582,318",$7.69m,$1.359t,"525,709",,,
,,,,,,,,,
Tron,FEB 16 - 22,,,,,,,,
Date,TVL,Chain Fees / Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions,
16 Feb 2026,$4.053b,"$861,199",$43.39m,$85.27m,$26.559b,$84.732b,3.44m,10.58m,
17 Feb 2026,$4.073b,"$784,369",$49.35m,$71.98m,$26.945b,$84.679b,3.49m,10.25m,
18 Feb 2026,$4.051b,"$724,710",$31.43m,$70.42m,$26.711b,$84.583b,3.43m,10.03m,
19 Feb 2026,$3.993b,"$741,514",$43.76m,$85.48m,$26.39b,$84.559b,3.39m,9.97m,
20 Feb 2026,$4.07b,"$791,126",$84.61m,$85.71m,$26.964b,$84.634b,3.43m,10.23m,
21 Feb 2026,$4.107b,"$598,131",$27.43m,$61.18m,$27.027b,$85.151b,2.88m,9.03m,
22 Feb 2026,$4.161b,"$536,287",$33.57m,$74.89m,$27.366b,$84.922b,2.77m,8.74m,
,,,,,,,,,
Base,FEB 16 - 22,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Stablecoins Mcap,Active Addresses,Transactions,
16 Feb,$3.882b,"$104,632","$104,362",$700.45m,$332.83m,$4.627b,"379,069",9.96m,
17 Feb,$3.917b,"$173,274","$172,996",$970.94m,$437.94m,$4.609b,"377,168",10.83m,
18 Feb,$3.858b,"$144,591","$144,278",$691.1m,$397.57m,$4.627b,"961,232",12.49m,
19 Feb,$3.797b,"$138,066","$137,758",$943.42m,$300.55m,$4.632b,"663,261",11.57m,
20 Feb,$3.839b,"$136,638","$136,341",$771.95m,$409.15m,$4.662b,"469,795",11.12m,
21 Feb,$3.872b,"$93,850","$93,590",$667.46m,$304.66m,$4.677b,"432,448",9.41m,
22 Feb,$3.9b,"$74,911","$74,702",$381.44m,$257.46m,$4.673b,"392,480",7.76m,