Ethereum,,,,,
Date,TVL,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap
01 Jun 2026,$41.856b,$1.182b,$1.944b,$241.849b,$162.244b
02 Jun 2026,$41.635b,$1.566b,$1.899b,$241.631b,$161.769b
03 Jun 2026,$39.279b,$1.709b,$1.892b,$223.998b,$160.639b
04 Jun 2026,$38.884b,$1.942b,$1.958b,$218.603b,$160.027b
05 Jun 2026,$38.743b,$2.575b,$1.956b,$213.354b,$159.485b
06 Jun 2026,$36.25b,$1.441b,$1.906b,$190.675b,$159.069b
07 Jun 2026,$36.179b,$837.24m,$1.905b,$189.332b,$158.891b
08 Jun 2026,$37.687B,$1.542B,$1.895B,$203.483B,$158.751B
09 Jun 2026,$37.502B,$1.097B,$1.906B,$203.764B,$158.978B
10 Jun 2026,$36.861B,$867.7M,$1.948B,$197.709B,$158.753B
11 Jun 2026,$36.556B,$822.56M,$1.962B,$195.685B,$158.556B
12 Jun 2026,$37.264B,$993.92M,$1.878B,$201.776B,$157.988B
13 Jun 2026,$37.529B,$417.95M,$1.721B,$200.947B,$157.868B
14 Jun 2026,$37.952B,$668.39M,$1.785B,$202.495B,$157.801B
15 Jun 2026,$38.511B,$1.43B,$1.865B,$208.128B,$157.806B
16 Jun 2026,$38.872B,$1.057B,$1.825B,$216.492B,$158.429B
17 Jun 2026,$39.703B,$1.185B,$1.782B,$216.146B,$158.355B
18 Jun 2026,$39.051B,$1.22B,$1.657B,$210.946B,$158.130B
19 Jun 2026,$38.510B,$701.89M,$1.816B,$206.343B,$157.808B
20 Jun 2026,$38.640B,$727.30M,$1.622B,$205.852B,$157.795B
21 Jun 2026,$38.930B,$514.13M,$1.616B,$209.883B,$157.837B
22 Jun 2026,$38.276B,$828.87M,$1.765B,$205.716B,$158.069B
23 Jun 2026,$38.930B,$981.46M,$1.805B,$208.388B,$158.080B
24 Jun 2026,$38.091B,$1.142B,$1.803B,$201.004B,$157.674B
25 Jun 2026,$37.120B,$1.098B,$1.758B,$195.075B,$157.771B
26 Jun 2026,$36.960B,$1.125B,$1.528B,$188.875B,$157.906B
27 Jun 2026,$37.158B,$391.38M,$1.352B,$190.218B,$156.627B
28 Jun 2026,$37.426B,$459.87M,$1.343B,$189.698B,$156.615B
29 Jun 2026,$37.237b,$850.23m,$1.139b,$189.747b,$156.298b
30 Jun 2026,$37.21b,$892.07m,$1.084b,$194.291b,$155.485b
,,,,,
BSC,,,,,
Date,TVL,DEX Volume,Perps Volume,Token Mcap,Stablecoins Mcap
01 Jun 2026,5.743B,1.324B,23.46M,95.493B,17.387B
02 Jun 2026,5.632B,1.227B,16.27M,93.269B,17.274B
03 Jun 2026,5.401B,1.007B,13.62M,87.600B,17.199B
04 Jun 2026,5.259B,1.216B,10.03M,83.563B,17.161B
05 Jun 2026,5.218B,1.560B,8.76M,81.361B,17.111B
06 Jun 2026,5.043B,0.818B,8.58M,77.088B,17.158B
07 Jun 2026,5.061B,0.798B,9.91M,77.422B,17.162B
08 Jun 2026,$5.205B,$869.49M,$8.77M,$81.4B,$17.163B
09 Jun 2026,$5.176B,$950.33M,$14.8M,$81.052B,$17.237B
10 Jun 2026,$5.163B,$864.33M,$11.01M,$79.916B,$17.3B
11 Jun 2026,$5.157B,$726.55M,$13.61M,$79.023B,$17.327B
12 Jun 2026,$5.228B,$574.27M,$14.86M,$81.553B,$17.523B
13 Jun 2026,$5.244B,$597.93M,$5.06M,$81.335B,$17.616B
14 Jun 2026,$5.285B,$680.09M,$5.06M,$82.108B,$17.648B
15 Jun 2026,$5.323B,$773.57M,$8.66M,$83.064B,$17.661B
16 Jun 2026,$5.348B,$674.45M,$11.10M,$83.172B,$17.726B
17 Jun 2026,$5.280B,$836.47M,$12.24M,$81.531B,$17.738B
18 Jun 2026,$5.195B,$652.75M,$14.80M,$81.003B,$17.732B
19 Jun 2026,$5.108B,$560.99M,$13.42M,$77.920B,$17.761B
20 Jun 2026,$5.102B,$447.74M,$4.97M,$78.180B,$17.756B
21 Jun 2026,$5.130B,$453.54M,$5.04M,$79.203B,$17.760B
22 Jun 2026,$5.106b,$630.18m,$11.19m,$78.654b,$17.76b
23 Jun 2026,$5.131b,$660.41m,$7m,$79.457b,$17.817b
24 Jun 2026,$5.072b,$827.7m,$28.04m,$77.841b,$17.812b
25 Jun 2026,$4.992b,$769.4m,$28.17m,$75.896b,$17.81b
26 Jun 2026,$4.966b,$719.71m,$27.07m,$75.452b,$17.814b
27 Jun 2026,$4.969b,$441.03m,$29.14m,$76.418b,$17.776b
28 Jun 2026,$4.946b,$467.83m,$31.13m,$74.998b,$17.773b
29 Jun 2026,$4.852b,$662.25m,$25.86m,$74.246b,$17.783b
30 Jun 2026,$4.875b,$654.61m,$33.59m,$75.309b,$17.787b
,,,,,
Solana,,,,,
Date,TVL,DEX Volume,Perps Volume,Token Mcap,Stablecoins Mcap
01 Jun 2026,5.382B,1.721B,5.269B,47.531B,15.238B
02 Jun 2026,5.281B,1.948B,2.129B,46.953B,15.435B
03 Jun 2026,5.016B,2.196B,2.667B,42.794B,15.955B
04 Jun 2026,4.986B,3.703B,4.449B,41.463B,15.555B
05 Jun 2026,4.930B,3.384B,3.111B,39.790B,15.321B
06 Jun 2026,4.713B,1.611B,0.602B,36.704B,15.475B
07 Jun 2026,4.701B,1.296B,0.771B,35.966B,15.612B
08 Jun 2026,$4.925B,$1.463B,$2.045B,$38.397B,$15.866B
09 Jun 2026,$4.877B,$1.622B,$1.949B,$38.658B,$15.958B
10 Jun 2026,$4.782B,$1.761B,$1.758B,$37.642B,$15.665B
11 Jun 2026,$4.439B,$1.561B,$2.767B,$35.608B,$15.772B
12 Jun 2026,$4.592B,$1.632B,$2.118B,$38.715B,$15.834B
13 Jun 2026,$4.700B,$951.99M,$532.83M,$38.672B,$15.634B
14 Jun 2026,$4.793B,$829.73M,$806.84M,$39.896B,$15.685B
15 Jun 2026,$4.883B,$1.657B,$1.763B,$41.224B,$15.717B
16 Jun 2026,$4.915B,$1.537B,$1.767B,$42.870B,$15.541B
17 Jun 2026,$4.925B,$1.610B,$1.947B,$42.619B,$15.367B
18 Jun 2026,$4.808B,$1.487B,$1.906B,$41.747B,$15.367B
19 Jun 2026,$4.778B,$1.312B,$1.194B,$40.381B,$15.673B
20 Jun 2026,$4.772B,$1.293B,$615.42M,$40.261B,$15.743B
21 Jun 2026,$4.903B,$1.028B,$681.74M,$42.487B,$15.794B
22 Jun 2026,$4.909B,$2.134B,$1.603B,$42.061B,$15.759B
23 Jun 2026,$4.841B,$2.399B,$1.645B,$41.689B,$15.794B
24 Jun 2026,$4.787B,$3.149B,$2.13B,$40.403B,$15.805B
25 Jun 2026,$4.705B,$2.551B,$1.895B,$39.41B,$15.408B
26 Jun 2026,$4.655B,$2.774B,$2.19B,$39.263B,$15.464B
27 Jun 2026,$4.823B,$1.16B,$484.62M,$41.71B,$15.607B
28 Jun 2026,$4.745B,$1.412B,$851.94M,$40.916B,$15.603B
29 Jun 2026,$4.813b,$2.86b,$1.615b,$41.466b,$15.595b
30 Jun 2026,$4.9b,$1.994b,$1.155b,$43.55b,$15.76b
,,,,,
Tron,,,,,
Date,TVL ($B),DEX Volume ($M),Perps Volume ($M),Token Mcap ($B),Stablecoins Mcap ($B)
01 Jun 2026,$4.868B,$67.83M,45.40M,$33.265B,$90.557B
02 Jun 2026,$4.780B,$65.35M,108.38M,$32.554B,$90.639B
03 Jun 2026,$4.584B,$63.87M,81.23M,$31.505B,$90.637B
04 Jun 2026,$4.556B,$81.97M,47.28M,$31.562B,$90.512B
05 Jun 2026,$4.513B,$107.36M,119.94M,$31.482B,$90.574B
06 Jun 2026,$4.359B,$60.13M,48.48M,$30.336B,$90.557B
07 Jun 2026,$4.349B,$58.33M,67.71M,$30.710B,$90.273B
08 Jun 2026,$4.438b,$39.44m,$50.17m,$30.957b,$90.188b
09 Jun 2026,$4.505b,$49.60m,$44.13m,$30.955b,$90.139b
10 Jun 2026,$4.447b,$41.71m,$68.19m,$30.579b,$90.113b
11 Jun 2026,$4.366b,$75.28m,$60.06m,$30.413b,$90.114b
12 Jun 2026,$4.363b,$56.55m,$42.36m,$29.998b,$90.144b
13 Jun 2026,$4.480b,$33.81m,$51.06m,$29.898b,$89.775b
14 Jun 2026,$4.495b,$29.10m,$81.26m,$30.061b,$89.758b
15 Jun 2026,$4.552B,$44.16M,$42.60M,$30.342B,$89.662B
16 Jun 2026,$4.588B,$30.17M,$46.52M,$30.213B,$89.646B
17 Jun 2026,$4.583B,$50.14M,$79.10M,$30.026B,$89.646B
18 Jun 2026,$4.597B,$42.68M,$47.12M,$30.481B,$89.556B
19 Jun 2026,$4.552B,$39.98M,$34.52M,$30.384B,$89.871B
20 Jun 2026,$4.556B,$37.44M,$32.18M,$30.678B,$89.848B
21 Jun 2026,$4.621B,$20.07M,$63.60M,$30.947B,$89.951B
22 Jun 2026,$4.621b,$42.99m,$156.05m,$31.024b,$89.802b
23 Jun 2026,$4.663b,$36.74m,$75.07m,$31.627b,$89.688b
24 Jun 2026,$4.615b,$40.71m,$90.63m,$31.194b,$89.661b
25 Jun 2026,$4.533b,$57.61m,$39.59m,$30.999b,$89.652b
26 Jun 2026,$4.458b,$40.94m,$44.53m,$30.68b,$89.656b
27 Jun 2026,$4.502b,$19.1m,$52.87m,$30.361b,$89.646b
28 Jun 2026,$4.431b,$33.01m,$57.82m,$30.421b,$89.64b
29 Jun 2026,$4.429b,$44.08m,$51.75m,$30.528b,$89.655b
30 Jun 2026,$4.432b,$33.9m,$41.54m,$30.438b,$89.753b
,,,,,
Base,,,,,
Date,TVL,DEX Volume,Perps Volume,Stablecoins Mcap,
01 Jun 2026,$4.399B,$1.35B,$376.51M,$4.668B,
02 Jun 2026,$4.307B,$1.711B,$366.27M,$4.657B,
03 Jun 2026,$4.107B,$1.653B,$311.68M,$4.668B,
04 Jun 2026,$4.020B,$1.887B,$331.29M,$4.706B,
05 Jun 2026,$3.990B,$1.913B,$416.30M,$4.739B,
06 Jun 2026,$3.842B,$1.153B,$154.95M,$4.764B,
07 Jun 2026,$3.818B,$1.289B,$180.40M,$4.790B,
08 Jun 2026,$3.997b,$1.209b,$162.09m,$4.839b,
09 Jun 2026,$3.939b,$1.07b,$277.23m,$4.843b,
10 Jun 2026,$3.861b,$1.225b,$288.93m,$4.731b,
11 Jun 2026,$3.875b,$951.12m,$170.25m,$4.734b,
12 Jun 2026,$3.994b,$815.86m,$176.34m,$4.803b,
13 Jun 2026,$4.009b,$445.36m,$156.09m,$4.828b,
14 Jun 2026,$4.097b,$619.67m,$139.78m,$4.852b,
15 Jun 2026,$4.180B,$1.14B,$188.21M,$4.857B,
16 Jun 2026,$4.261B,$1.019B,$159.71M,$4.909B,
17 Jun 2026,$4.302B,$1.135B,$199.93M,$4.921B,
18 Jun 2026,$4.213B,$1.034B,$238.29M,$4.872B,
19 Jun 2026,$4.151B,$631.54M,$205.47M,$4.872B,
20 Jun 2026,$4.183B,$695.62M,$141.03M,$4.872B,
21 Jun 2026,$4.226B,$573.72M,$158.37M,$4.877B,
22 Jun 2026,$4.189B,$1.015B,$227.74M,$4.876B,
23 Jun 2026,$4.255B,$938.4M,$195.77M,$4.884B,
24 Jun 2026,$4.205B,$979.69M,$295.3M,$4.908B,
25 Jun 2026,$4.113B,$1.162B,$265.07M,$4.85B,
26 Jun 2026,$4.037B,$1.024B,$193.02M,$4.891B,
27 Jun 2026,$4.059B,$636.53M,$187.37M,$4.878B,
28 Jun 2026,$4.073B,$733.46M,$139.18M,$4.893B,
29 Jun 2026,$4.086b,$968.85m,$194.96m,$4.897b,
30 Jun 2026,$4.094b,$797.1m,$154.83m,$4.91b,
,,,,,
Bitcoin,,,,,
Date,TVL,Perps Volume,Token Mcap,,
01 Jun 2026,$4.826B,$11.48M,$1.475T,,
02 Jun 2026,$4.656B,$16.74M,$1.431T,,
03 Jun 2026,$4.385B,$17.53M,$1.336T,,
04 Jun 2026,$4.222B,$22.99M,$1.283T,,
05 Jun 2026,$4.187B,$35.7M,$1.278T,,
06 Jun 2026,$4.032B,$19.46M,$1.221T,,
07 Jun 2026,$4.015B,$18.23M,$1.22T,,
08 Jun 2026,$4.199b,$14.74m,$1.267t,,
09 Jun 2026,$4.13b,$14.52m,$1.263t,,
10 Jun 2026,$4.061b,$13.9m,$1.236t,,
11 Jun 2026,$4.07b,$11.79m,$1.232t,,
12 Jun 2026,$4.199b,$8.75m,$1.274t,,
13 Jun 2026,$4.194b,$6.61m,$1.273t,,
14 Jun 2026,$4.255b,$8.26m,$1.29t,,
15 Jun 2026,$4.332B,$11.22M,$1.317T,,
16 Jun 2026,$4.374B,$10.57M,$1.329T,,
17 Jun 2026,$4.333B,$13.75M,$1.315T,,
18 Jun 2026,$4.251B,$10.22M,$1.291T,,
19 Jun 2026,$4.136B,$8.16M,$1.261T,,
20 Jun 2026,$4.182B,$8.70M,$1.269T,,
21 Jun 2026,$4.223B,$7.09M,$1.288T,,
22 Jun 2026,$4.196b,$12.18m,$1.268t,,
23 Jun 2026,$4.205b,$11.39m,$1.282t,,
24 Jun 2026,$4.12b,$18.4m,$1.256t,,
25 Jun 2026,$4.011b,$25.03m,$1.22t,,
26 Jun 2026,$3.911b,$21.64m,$1.197t,,
27 Jun 2026,$3.931b,$7.66m,$1.203t,,
28 Jun 2026,$3.944b,$8.88m,$1.202t,,
29 Jun 2026,$3.906b,$17.28m,$1.195t,,
30 Jun 2026,$3.942b,$11.06m,$1.206t,,