Ethereum Chain,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions,
09 Mar,$53.751b,"$315,803","$40,776",$1.596b,$234.131b,$160.582b,"$690,747.00",2.11m,
10 Mar,$54.777b,"$320,403","$46,071.00",$1.541b,$240.569b,$161.32b,"$775,867.00",2.24m,
11 Mar,$54.753b,"$306,879","$49,543",$1.442b,$245.646b,$161.481b,"$752,457.00",2.15m,
12 Mar,$55.633b,"$504,900","$50,239",$1.475b,$247.646b,$161.563b,"$834,454.00",2.21m,
13 Mar,$56.848b,"$422,513","$77,290",$1.52b,$250.637b,$162.124b,"$722,625.00",2.19m,
14 Mar,$56.309b,"$176,222","$16,518",$1.276b,$252.502b,$162.475b,"$795,162.00",2.01m,
15 Mar,$56.638b,"$211,114","$19,570",$1.377b,$253.1b,$162.463b,"$561,586.00",1.76m,
,,,,,,,,,
,,,,,,,,,
Solana Chain,,,,,,,,,
Date (2026),TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
09 Mar,$6.392b,"$670,102","$65,048.00",$2.353b,$1.023b,$46.643b,$15.42b,2.4m,91.6m
10 Mar,$6.638b,"$652,881","$64,015",$2.298b,$1.068b,$48.507b,$15.574b,2.19m,89.29m
11 Mar,$6.59b,"$708,010","$63,941",$2.246b,$1.03b,$48.936b,$15.644b,2.42m,87.27m
12 Mar,$6.671b,"$698,408","$65,799",$2.195b,$1.23b,$49.494b,$15.781b,2.3m,83.98m
13 Mar,$6.91b,"$685,910","$66,366",$2.88b,$1.098b,$49.675b,$15.598b,2.17m,90.79m
14 Mar,$6.845b,"$574,334","$61,863",$1.811b,$288.22m,$50.341b,$15.668b,2.3m,87.51m
15 Mar,$7.011b,"$601,926","$65,380",$2.168b,$562.96m,$50.302b,$15.694b,1.94m,87.79m
,,,,,,,,,
BSC Chain,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,App Revenue,Stablecoins Mcap,Active Addresses,Transactions
09 Mar,$5.753b,"$277,306","$27,731",$1.051b,$276.7m,"$557,207",$13.748b,2.61m,14.63m
10 Mar,$5.849b,"$364,275","$36,427",$988.53m,$267.43m,"$861,443",$13.748b,2.7m,16.21m
11 Mar,$5.919b,"$456,054","$45,605",$1.03b,$264.76m,"$978,866",$13.75b,2.78m,15.38m
12 Mar,$5.89b,"$402,435","$40,243",$928.95m,$271.08m,"$859,314",$13.749b,2.81m,15.39m
13 Mar,$5.806b,"$411,818","$41,182",$1.047b,$274.33m,"$859,583",$13.726b,2.98m,16.51m
14 Mar,$5.798b,"$291,951","$29,195",$656.88m,$6.74m,"$621,515",$13.729b,2.48m,12.62m
15 Mar,$5.814b,"$755,309","$75,531",$944.37m,$262.07m,"$819,883",$13.73b,2.52m,13.88m
,,,,,,,,,
Base Chain,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Stablecoins Mcap,Active Addresses,Transactions,
09 Mar 2026,$3.932b,"$99,654","$99,403",$1.018b,$611.15m,$4.784b,"443,861",9.72m,
10 Mar 2026,$4.008b,"$109,569","$109,265",$994.22m,$438.69m,$4.792b,"459,013",10.29m,
11 Mar 2026,$4.084b,"$86,833","$86,569",$721.55m,$509.96m,$4.795b,"619,217",9.12m,
12 Mar 2026,$4.093b,"$98,007","$97,720",$828.5m,$494.09m,$4.81b,"477,558",9.66m,
13 Mar 2026,$4.173b,"$124,687","$124,385",$906.06m,$426.56m,$4.796b,"495,569",9.54m,
14 Mar 2026,$4.146b,"$59,109","$58,903",$394.8m,$243.78m,$4.752b,"419,511",7.6m,
15 Mar 2026,$4.165b,"$87,919","$87,704",$548.96m,$410.97m,$4.749b,"392,342",8.17m,
,,,,,,,,,
Tron Chain,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
09 Mar 2026,$4.048b,$1.01m,$1.01m,$76.72m,$97.79m,$27.387b,$86.742b,3.3m,11.44m
10 Mar 2026,$4.056b,$1.13m,$1.13m,$57.8m,$69.41m,$27.049b,$86.735b,3.31m,11.74m
11 Mar 2026,$3.853b,"$976,664","$976,664",$69.43m,$75.49m,$27.087b,$86.667b,3.29m,11.3m
12 Mar 2026,$3.889b,"$947,419","$947,419",$50.26m,$70.64m,$27.564b,$86.819b,3.08m,10.92m
13 Mar 2026,$3.932b,$1.01m,$1.01m,$60.42m,$94.1m,$27.393b,$86.825b,3.17m,11.07m
14 Mar 2026,$3.942b,"$720,397","$720,397",$64.54m,$64.75m,$27.8b,$86.842b,2.95m,10.01m
15 Mar 2026,$3.989b,"$762,110","$762,110",$29.51m,$53.22m,$28.238b,$86.839b,2.91m,10.23m
,,,,,,,,,
Bitcoin Chain,,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Active Addresses,,,
09 Mar 2026,$4.334b,"$174,111","$620,499",$17.17m,$1.322t,"627,803",,,
10 Mar 2026,$4.432b,"$188,613","$845,515",$16.67m,$1.37t,"649,875",,,
11 Mar 2026,$4.493b,"$195,460","$560,586",$13.71m,$1.398t,"629,140",,,
12 Mar 2026,$2.883b,"$192,663","$670,092",$12.57m,$1.405t,"640,192",,,
13 Mar 2026,$2.967b,"$237,327","$708,657",$17.78m,$1.411t,"676,568",,,
14 Mar 2026,$2.916b,"$145,968","$519,085",$8.96m,$1.419t,"557,544",,,
15 Mar 2026,$2.947b,"$143,319","$470,590",$12.29m,$1.425t,"534,462",,,