Ethereum,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
23 Mar 2026,$54.837b,"$476,690","$65,185",$1.663b,$1.564b,$247.826b,$164.458b,"648,045",2.53m
24 Mar,$56.254b,"$289,747","$37,221",$904.37m,$1.525b,$259.555b,$164.078b,"680,777",2.59m
25 Mar,$55.761b,"$257,734","$34,003",$1.064b,$1.517b,$260.197b,$163.75b,"605,542",2.09m
26 Mar,$56.12b,"$394,355","$40,143",$1.009b,$1.497b,$261.687b,$163.991b,"651,374",2.48m
27 Mar,$54.093b,"$364,514","$56,112",$1.234b,$1.313b,$248.55b,$163.561b,"554,910",2.69m
28 Mar,$52.69b,"$203,394","$30,458",$609.89m,$1.216b,$240.35b,$163.422b,"509,477",2.52m
29 Mar,$52.678b,"$218,934","$52,058",$765.41m,$1.217b,$240.522b,$163.381b,"436,925",1.83m
,,,,,,,,,
Solana,,,,,,,,,
Date (2026),TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,,
23 Mar,$6.665b,"$621,301","$66,747",$2.651b,$2.222b,$49.328b,$15.292b,,
24 Mar,$6.759b,"$609,617","64,651",$1.741b,$1.088b,$52.255b,$15.11b,,
25 Mar,$6.653b,"$627,930","65,276",$1.598b,$1.118b,$52.004b,$15.273b,,
26 Mar,$6.67b,"$561,528","59,455",$1.597b,$1.026b,$52.443b,$15.25b,,
27 Mar,$6.547b,"$521,693","57,952",$1.499b,$825.56m,$49.416b,$15.005b,,
28 Mar,$6.402b,"$432,134","52,986",$1.075b,$408.63m,$47.482b,$14.907b,,
29 Mar,$6.35b,"$422,753","53,574",$1.265b,$547.8m,$46.946b,$14.878b,,
,,,,,,,,,
BSC,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Stablecoins Mcap,Active Addresses,Transactions,
23 Mar 2026,$5.387B,"$495,139","$49,514",$1.555B,$321.23M,$14.224B,2.62M,15.76M,
24 Mar 2026,$5.45B,"$412,182","41,218",$843.74M,$287.88M,$13.699B,2.53M,14.82M,
25 Mar 2026,$5.475B,"$325,377","32,538",$851.79M,$264.87M,$13.7B,2.67M,16.01M,
26 Mar 2026,$5.521B,"$289,990","28,999",$826.61M,$261.94M,$13.691B,2.56M,15.40M,
27 Mar 2026,$5.372B,"$268,617","$26,862",$893.84M,$267.67M,$13.686B,2.88M,15.72M,
28 Mar 2026,$5.257B,"$231,722","23,172",$784.16M,$257.52M,$14.207B,2.42M,13.52M,
29 Mar 2026,$5.266B,"$255,807","25,581",$795.61M,$262.88M,$13.682B,2.36M,14.28M,
,,,,,,,,,
,,,,,,,,,
Bitcoin,,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,,,,
23 Mar 2026,$2.819b,"$171,025","967,626",$27.27m,$1.357t,,,,
24 Mar 2026,$3.292b,"$175,743","$999,401",$13.92m,$1.418t,,,,
25 Mar 2026,$4.065b,"$188,626","$767,710",$12.5m,$1.411t,,,,
26 Mar 2026,$4.423b,"$164,781","$588,776",$12.53m,$1.427t,,,,
27 Mar 2026,$4.501b,"$177,136","$673,814",$11.61m,$1.376t,,,,
28 Mar 2026,$4.351b,"$123,786","$390,066",$9.59m,$1.326t,,,,
29 Mar 2026,$4.49b,"$108,820","$354,748",$9.54m,$1.327t,,,,
,,,,,,,,,
Tron ,,,,,,,,,
Date,TVL,Chain Fees / Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions,
23 Mar,$4.044b,$1.12m,$82.81m,$107.13m,$29.41b,$86.091b,2.92m,11m,
24 Mar,$4.112b,$1.01m,$85.89m,$177.61m,$29.121b,$86.112b,2.95m,10.75m,
25 Mar,$4.082b,"$967,634",$41.56m,$49.76m,$29.003b,$86.058b,2.94m,10.75m,
26 Mar,$4.15b,"$995,454",$42.14m,$78.12m,$29.854b,$86.047b,2.91m,10.79m,
27 Mar,$4.084b,"$981,135",$72.07m,$84.73m,$29.489b,$86.035b,2.93m,10.72m,
28 Mar,$4.024b,"683,302",$59.7m,$50.83m,$29.427b,$86.044b,2.51m,9.14m,
29 Mar,$4.064b,"$644,585",$62.86m,$55.42m,$29.991b,$86.037b,2.62m,9.19m,
,,,,,,,,,
Base,,,,,,,,,
Date (2026),TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Stablecoins Mcap,Active Addresses,Transactions,
23 Mar,$4.017b,"$199,642","199,372",$1.203b,$469.47m,$4.671b,"456,271",9.2m TXs,
24 Mar,$4.156b,"$89,947","89,733",$745.01m,$382.12m,$4.696b,"427,160",8.04m TXs,
25 Mar,$4.154b,"$76,849","76,631",$679.56m,$373.07m,$4.827b,"485,302",7.74m TXs,
26 Mar,$4.183b,"$84,394","$84,165",$599.81m,$388.75m,$4.822b,"517,064",8.89m TXs,
27 Mar,$4.041b,"$94,611","$94,314",$691.14m,$382.6m,$4.762b,"458,088",12.71m TXs,
28 Mar,$3.961b,"$70,303","$70,096",$447.58m,$228.91m,$4.722b,"327,508",6.9m TXs,
29 Mar,$3.958b,"$44,937","$44,739",$396.83m,$406.12m,$4.704b,"442,763",7.55m TXs,