Ethereum ,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Active Addresses,Transactions
30 Mar 2026,$52.592b,"$281,891",$1.073b,$1.358b,$239.326b,"623,236",2.3m TXs
31 Mar 2026,$52.492b,"$395,036",$1.17b,$1.397b,$244.31b,"777,536",2.64m TXs
01 Apr 2026,$53.985b,"$364,832",$2.068b,$1.392b,$254.041b,"693,061",2.39m TXs
02 Apr 2026,$54.108b,"$322,732",$1.227b,$1.455b,$258.116b,"658,329",2.45m TXs
03 Apr 2026,$53.226b,"$228,889",$973.51m,$1.289b,$248.3b,"570,085",2.32m TXs
04 Apr 2026,$52.695b,"$157,496",$548.12m,$1.083b,$247.83b,"450,464",2.1m TXs
05 Apr 2026,$52.987b,"$194,664",$563.47m,$1.198b,$249.241b,"455,796",2.05m TXs
,,,,,,,
Solana,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,,
30 Mar 2026,$6.192b,"$825,310",$1.998b,$1.177b,$46.566b,,
31 Mar 2026,$6.164b,"$558,163",$2.001b,$1.684b,$47.208b,,
01 Apr 2026,$6.34b,"$688,379",$2.919b,$1.807b,$47.557b,,
02 Apr 2026,$5.376b,"$512,544",$1.541b,$1.26b,$46.548b,,
03 Apr 2026,$5.392b,"$503,560",$1.283b,$544.54m,$45.213b,,
04 Apr 2026,$5.355b,"$469,482",$827.17m,$189.02m,$46.017b,,
05 Apr 2026,$5.502b,"$438,528",$909.92m,$521.76m,$46.264b,,
,,,,,,,
BSC,,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Active Addresses,Transactions,,
30 Mar 2026,$5.25b,$983.01m,$269.94m,2.93m,15.38m,,
31 Mar 2026,$5.349b,$892.27m,$283.67m,2.87m,15.57m,,
01 Apr 2026,$5.408b,$862.93m,$281.96m,2.66m,15.13m,,
02 Apr 2026,$5.38b,$863.25m,$270.19m,2.8m,15.29m,,
03 Apr 2026,$5.243b,$584.51m,$258.7m,2.6m,14.63m,,
04 Apr 2026,$5.356b,$531.87m,$257m,2.52m,13.26m,,
05 Apr 2026,$5.31b,$528.35m,$268.62m,2.42m,12.89m,,
,,,,,,,
TRON,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Active Addresses,Transactions
30 Mar 2026,$4.52b,$1.06m,$73.22m,$88.74m,$30.486b,2.92m,10.83m
31 Mar 2026,$4.516b,$1.16m,$70.8m,$150.17m,$30.24b,3.06m,11.38m
01 Apr 2026,$4.799b,$1.18m,$58.88m,$150.02m,$29.7b,2.95m,11.01m
02 Apr 2026,$4.86b,$1.11m,$46.51m,$145.92m,$29.933b,2.67m,10.48m
03 Apr 2026,$4.791b,"$933,397",$36.02m,$235.09m,$29.879b,2.86m,10.42m
04 Apr 2026,$4.802b,"$754,648",$37.32m,$46.96m,$29.878b,2.77m,9.74m
05 Apr 2026,$4.86b,"$673,670",$32.65m,$94.32m,$30.107b,2.55m,9.14m
,,,,,,,
Bitcoin,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Token Mcap,,,
30 Mar 2026,$4.466b,"$170,301","$520,915",$1.32t,,,
31 Mar 2026,$4.541b,"$167,574","$567,152",$1.335t,,,
01 Apr 2026,$4.618b,"$171,697","$648,913",$1.365t,,,
02 Apr 2026,$4.626b,"$169,445","$652,313",$1.362t,,,
03 Apr 2026,$4.525b,"$174,792","$503,232",$1.339t,,,
04 Apr 2026,$4.539b,"$137,543","$373,445",$1.339t,,,
05 Apr 2026,$4.565b,"$111,057","$407,928",$1.347t,,,
,,,,,,,
Base,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Active Addresses,Transactions,
30 Mar,$3.934b,"$87,566",$840.1m,$370.23m,"425,206",8.17m,
31 Mar,$3.974b,"$91,046",$858.44m,$356.9m,"408,621",8.76m,
01 Apr,$4.054b,"$93,696",$745.65m,$450.75m,"402,948",8.84m,
02 Apr,$4.085b,"$87,639",$708.23m,$614.76m,"494,603",9.52m,
03 Apr,$4.027b,"$55,489",$408.79m,$584.9m,"540,851",7.75m,
04 Apr,$4.053b,"$43,818",$350.14m,$375.26m,"527,875",7.24m,
05 Apr,$4.069b,"$75,231",$562.66m,$1.104b,"454,696",7.08m,